centerdatasetid	cl_center_batch_id	cl_lincs_id	cl_name	cl_alternative_names	cl_alternative_ids	cl_center_canonical_id	cl_relevant_citations	cl_center_name	cl_provider_name	cl_provider_catalog_id	cl_provider_batch_id	cl_organism	cl_organ	cl_tissue	cl_cell_type	cl_cell_type_detail	cl_donor_sex	cl_donor_age	cl_donor_ethnicity	cl_donor_health_status	cl_disease	cl_disease_detail	cl_known_mutations	cl_mutation_citations	cl_molecular_features	cl_genetic_modification	cl_growth_properties	cl_recomended_culture_conditions	cl_related_projects	cl_verification_reference_profile	cl_reference_source	cl_cell_markers	cl_gonosome_code	cl_disease_site_onset	cl_disease_age_onset	cl_donor_age_death	cl_donor_disease_duration	cl_precursor_cell_name	cl_precursor_cell_lincs_id	cl_precursor_cell_center_batch_id	cl_production_details	cl_quality_verification	cl_transient_modification	cl_passage_number	cl_source_information	cl_date_received	cl_center_specific_code
20343	50008-2	LCL-1472	CAL-51	Cal51, CAL51, CAL 51	"<a href = ""http://purl.obolibrary.org/obo/CLO_0002185""  target=""blank"">CLO_0002185</a>"	50008			Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures	ACC-302		Homo sapiens	breast		epithelial-like		female				DOID:3459, breast carcinoma					none	adherent				"<a href = ""https://www.dsmz.de/catalogues/details/culture/ACC-302.html?tx_dsmzresources_pi5%5BreturnPid%5D=192"" target=""blank"">Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures ACC 302</a>"														Obtained by Caitlin Mills (Harvard Medical School) from DSMZ		
20343	50029-2	LCL-1460	MCF-7	IBMF-7, MCF7/WT, ssMCF7, ssMCF-7, Michigan Cancer Foundation-7, MCF7, MCF.7, MCF 7, MCF7-CTRL	"<a href = ""http://purl.obolibrary.org/obo/CLO_0007606""  target=""blank"">CLO_0007606</a>"	50029		HMS_LINCS	ATCC	HTB-22		Homo sapiens	breast		epithelial		female		Caucasian	disease	breast adenocarcinoma	DOID:3458		"<a href = ""http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=905946""  target=""blank"">COSS905946</a>"		none	adherent	From MGH/CMT as specified by cell provider: Minimum essential medium (Eagle) with 2 mM L-glutamine and Earle's BSS adjusted to contain 1.5 g/L sodium bicarbonate, 0.1 mM non-essential amino acids and 1 mM sodium pyruvate and supplemented with 0.01 mg/ml bovine insulin, 90%; fetal bovine serum, 10%. Protocol: Remove culture medium to a centrifuge tube. Briefly rinse the cell layer with 0.25% (w/v) Trypsin - 0.53 mM EDTA solution to remove all traces of serum which contains trypsin inhibitor. Add 2.0 to 3.0 ml of Trypsin-EDTA solution to flask and observe cells under an inverted microscope until cell layer is dispersed (usually within 5 to 15 minutes). Note: To avoid clumping do not agitate the cells by hitting or shaking the flask while waiting for the cells to detach. Cells that are difficult to detach may be placed at 37C to facilitate dispersal. Add 6.0 to 8.0 ml of complete growth medium and aspirate cells by gently pipetting. Transfer the cell suspension to the centrifuge tube with the medium and cells from step 1, and centrifuge at approximately 125 x g for 5 to 10 minutes. Discard the supernatant. Resuspend the cell pellet in fresh growth medium. Add appropriate aliquots of the cell suspension to new culture vessels. Incubate cultures at 37C. Subcultivation ratio: A subcultivation ratio of 1:3 to 1:6 is recommended		(1.)DNA Profile (STR, source: ATCC): Amelogenin: X  CSF1PO: 10  D13S317: 11  D16S539: 11,12  D5S818: 11,12  D7S820: 8,9  THO1: 6  TPOX: 9,12  vWA: 14,15 (2.)STR_Amelogenin_X, STR_CSF1PO_10, STR_D13S317_11, STR_D16S539_11_12, STR_D5S818_11_12, STR_D7S820_8_9, STR_THO1_6, STR_TPOX_9_12, STR_vWA_14_15	"<a href = ""http://www.atcc.org/Products/All/HTB-22"" target=""blank"">ATCC HTB-22</a>"											PASS			Obtained by Mario Niepel (Harvard Medical School) as part of the ICBP43 Collection in July, 2010.	2010-07-16	
20343	50056-1	LCL-2083	hTERT-HME1	ME16C, HME1, hTERT-HME-1, hTERTHME1, HME-1	"<a href = ""http://purl.obolibrary.org/obo/CLO_0004291""  target=""blank"">CLO_0004291</a>"	50056		HMS_LINCS	ATCC	CRL-4010		Homo sapiens	breast	breast	epithelial		female				normal, not diseased					pBabepuro+hTERT integration	adherent	ATCC complete growth medium: The base medium for this cell line (MEBM) along with all the additives can be obtained from Lonza/Clonetics Corporation as a kit: MEGM, Kit Catalog No. CC-3150. ATCC does not use the GA-1000 (gentamycin-amphotericin B mix) provided with kit. Note: Do not filter complete medium Atmosphere: air, 95%; carbon dioxide (CO2), 5%  Temperature: 37.0 deg C  Subculturing protocol: Remove and discard culture medium. Add 2.0 to 3.0 ml of 0.25% (w/v) Trypsin - 0.53 mM EDTA solution to the flask and observe cells under an inverted microscope until the cell layer is dispersed (usually within 5 to 15 minutes). Note: To avoid clumping do not agitate the cells by hitting or shaking the flask while waiting for the cells to detach. Cells that are difficult to detach may be placed at 37C to facilitate dispersal. To remove trypsin-EDTA solution, add 2.0 to 3.0 ml of 0.1% SoybeanTrypsin Inhibitor solution and aspirate cells by gently pipetting. Transfer cell suspension to a 15 mL centrifuge tube and spin at approximately 125 x g for 5 to 10 minutes. Discard supernatant and resuspend cells in fresh growth medium. Add appropriate aliquots of the cell suspension to new culture vessels. An inoculum of 7 X 10(3) to 9 X 10(3) viable cells/sq. cm is recommended. Subculture cultures when they reach a cell concentration between 4 X 10(4) and 6 X 10(4) cells/sq. cm. Incubate cultures at 37C. Interval: weekly  Subcultivation Ratio: A subcultivation ratio of 1:4 to 1:6 is recommended.  Medium Renewal: Every 2 to 3 days		DNA Profile (STR, source: ATCC):  Amelogenin: X  CSF1PO: 10  D13S317: 11,12  D16S539: 11,12  D5S818: 11  D7S820: 7,12  THO1: 7,8  TPOX: 10,12  vWA: 15,16	"<a href = ""http://www.atcc.org/Products/All/CRL-4010"" target=""blank"">ATCC CRL-4010</a>"										"Human mammary epithelium, HME1 cell line, was derived from a 53-year-old patient undergoing reduction mammoplasty surgery (no history of breast cancer). 
The HME1 cells were immortalized by infection with the retrovirus pBabepuro+hTERT vector and cultured in complete growth medium containing puromycin until stable clones were selected. "	PASS			Obtained by Mario Niepel (Harvard Medical School) from ATCC in March, 2012	2012-03-02	
20343	50057-2	LCL-1475	SK-BR-3	SKBr3, SK-Br-3, SKBr-3, SkBr3, Sk-Br-3, SKBR3, SKBR-3, SK-BR3	"<a href = ""http://purl.obolibrary.org/obo/CLO_0009034""  target=""blank"">CLO_0009034</a>"	50057		HMS_LINCS	ATCC	HTB-30		Homo sapiens	breast	breast	epithelial		female		Caucasian		adenocarcinoma, breast carcinoma	DOID:3459				none	adherent	ATCC complete growth medium: The base medium for this cell line is ATCC-formulated McCoy's 5a Medium Modified, Catalog No. 30-2007. To make the complete growth medium, add the following components to the base medium: fetal bovine serum to a final concentration of 10%. Atmosphere: air, 95%; carbon dioxide (CO2), 5%  Temperature: 37.0 deg C  Subculturing protocol: Remove and discard culture medium. Briefly rinse the cell layer with 0.25% (w/v) Trypsin, 0.53 mM EDTA solution to remove all traces of serum which contains trypsin inhibitor. Add 2.0 to 3.0 ml of Trypsin-EDTA solution to flask and observe cells under an inverted microscope until cell layer is dispersed (usually within 5 to 15 minutes). Note: To avoid clumping do not agitate the cells by hitting or shaking the flask while waiting for the cells to detach. Cells that are difficult to detach may be placed at 37 deg C to facilitate dispersal. Add 6.0 to 8.0 ml of complete growth medium and aspirate cells by gently pipetting. Add appropriate aliquots of the cell suspension to new culture vessels. Incubate cultures at 37 deg C. Subcultivation Ratio: A subcultivation ratio of 1:2 is recommended  Medium Renewal: 2 to 3 times per week		DNA Profile (STR, source: ATCC):  Amelogenin: X  CSF1PO: 12  D13S317: 11,12  D16S539: 9  D5S818: 9,12  D7S820: 9,12  THO1: 8,9  TPOX: 8,11  vWA: 17	"<a href = ""http://www.atcc.org/Products/All/HTB-30"" target=""blank"">ATCC HTB-30</a>"											PASS			Obtained by Mario Niepel (Harvard Medical School) as part of the ICBP43 Collection in July, 2010	2010-07-16	
20343	50058-2	LCL-1461	MDA-MB-231	MDA231, MDA MB 231, MDA-231, MDAMB231, MDA MB231, MDA-MB231, MDA-MB 231, MDA Mb231, MB231, MDA.MB.231	"<a href = ""http://purl.obolibrary.org/obo/CLO_0007634""  target=""blank"">CLO_0007634</a>"	50058		HMS_LINCS	ATCC	HTB-26		Homo sapiens	breast	breast	epithelial		female		Caucasian		breast adenocarcinoma	DOID:3458		"<a href = ""http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=905960""  target=""blank"">COSS905960</a>"		none	adherent	ATCC complete growth medium: The base medium for this cell line is ATCC-formulated Leibovitz's L-15 Medium, Catalog No. 30-2008. To make the complete growth medium, add the following components to the base medium: fetal bovine serum to a final concentration of 10%. Atmosphere: air, 100%  Temperature: 37.0 deg C  Subculturing protocol: Remove and discard culture medium. Briefly rinse the cell layer with 0.25% (w/v) Trypsin- 0.53 mM EDTA solution to remove all traces of serum that contains trypsin inhibitor. Add 2.0 to 3.0 ml of Trypsin-EDTA solution to flask and observe cells under an inverted microscope until cell layer is dispersed (usually within 5 to 15 minutes). Note: To avoid clumping do not agitate the cells by hitting or shaking the flask while waiting for the cells to detach. Cells that are difficult to detach may be placed at 37 deg C to facilitate dispersal. Add 6.0 to 8.0 ml of complete growth medium and aspirate cells by gently pipetting. Add appropriate aliquots of the cell suspension to new culture vessels. Incubate cultures at 37 deg C without CO2. Subcultivation Ratio: A subcultivation ratio of 1:2 to 1:4 is recommended  Medium Renewal: 2 to 3 times per week		DNA Profile (STR, source: ATCC):  Amelogenin: X  CSF1PO: 12,13  D13S317: 13  D16S539: 12  D5S818: 12  D7S820: 8,9  THO1: 7,9.3  TPOX: 8,9  vWA: 15,18	"<a href = ""http://www.atcc.org/Products/All/HTB-26"" target=""blank"">ATCC HTB-26</a>"											PASS			Obtained by Mario Niepel (Harvard Medical School) as part of the ICBP43 Collection in July, 2010	2010-07-16	
20343	50105-2	LCL-1476	BT-20	BT 20, BT20	"<a href = ""http://purl.obolibrary.org/obo/CLO_0002041""  target=""blank"">CLO_0002041</a>"	50105		HMS_LINCS	ATCC	HTB-19		Homo sapiens	breast	breast			female		Caucasian		ductal carcinoma, breast carcinoma	DOID:3459		"<a href = ""http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=906801""  target=""blank"">COSS906801</a>"		none	adherent	From MGH/CMT as specified by cell provider: Minimum essential medium (Eagle) with 2 mM L-glutamine and Earle's BSS adjusted to contain 1.5 g/L sodium bicarbonate, 0.1 mM non-essential amino acids, and 1.0 mM sodium pyruvate, 90%; fetal bovine serum, 10%. Protocol:  Remove and discard culture medium. Briefly rinse the cell layer with 0.25% (w/v) Trypsin- 0.53 mM EDTA solution to remove all traces of serum that contains trypsin inhibitor. Add 2.0 to 3.0 ml of Trypsin-EDTA solution to flask and observe cells under an inverted microscope until cell layer is dispersed (usually within 5 to 15 minutes). Note: To avoid clumping do not agitate the cells by hitting or shaking the flask while waiting for the cells to detach. Cells that are difficult to detach may be placed at 37°C to facilitate dispersal. Add 6.0 to 8.0 ml of complete growth medium and aspirate cells by gently pipetting. Add appropriate aliquots of the cell suspension to new culture vessels. Incubate cultures at 37°C. Subcultivation ratio: A subcultivation ratio of 1:2 to 1:4 is recommended			"<a href = ""http://www.atcc.org/Products/All/HTB-19"" target=""blank"">ATCC HTB-19</a>"											PASS			Obtained by Mario Niepel (Harvard Medical School) as part of the ICBP43 Collection in July, 2010	2010-07-16	
20343	50108-2	LCL-1310	BT-549	BT549, BT 549, BT.549	"<a href = ""http://purl.obolibrary.org/obo/CLO_0002044""  target=""blank"">CLO_0002044</a>"	50108		HMS_LINCS	ATCC	HTB-122		Homo sapiens	breast				female				DOID:3008, ductal carcinoma	breast ductal carcinoma		"<a href = ""http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=905951""  target=""blank"">COSS905951</a>"		none	adherent	From MGH/CMT as specified by cell provider: RPMI 1640 medium with 2 mM L-glutamine adjusted to contain 1.5 g/L sodium bicarbonate, 4.5 g/L glucose, 10 mM HEPES, and 1.0 mM sodium pyruvate supplemented with 0.023 IU/ml insulin and 10% fetal bovine serum. Protocol:  Remove and discard culture medium. Briefly rinse the cell layer with 0.25% (w/v) Trypsin- 0.53 mM EDTA solution to remove all traces of serum that contains trypsin inhibitor. Add 2.0 to 3.0 ml of Trypsin-EDTA solution to flask and observe cells under an inverted microscope until cell layer is dispersed (usually within 5 to 15 minutes). Note: To avoid clumping do not agitate the cells by hitting or shaking the flask while waiting for the cells to detach. Cells that are difficult to detach may be placed at 37°C to facilitate dispersal. Add 6.0 to 8.0 ml of complete growth medium and aspirate cells by gently pipetting. Add appropriate aliquots of the cell suspension to new culture vessels. Incubate cultures at 37°C. Subcultivation ratio: A subcultivation ratio of 1:2 to 1:6 is recommended			"<a href = ""http://www.atcc.org/Products/All/HTB-122"" target=""blank"">ATCC HTB-122</a>"														Obtained by Mario Niepel (Harvard Medical School) as part of the ICBP43 Collection in July, 2010	2010-07-16	
20343	50131-2	LCL-1466	CAMA-1	CAMA, Cama-1, CAMA1	"<a href = ""http://purl.obolibrary.org/obo/CLO_0002194""  target=""blank"">CLO_0002194</a>"	50131		HMS_LINCS	ATCC	HTB-21		Homo sapiens	breast				female				DOID:3458, adenocarcinoma	breast adenocarcinoma		"<a href = ""http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=946382""  target=""blank"">COSS946382</a>"		none	adherent	From MGH/CMT as specified by cell provider: Minimum essential medium (Eagle) with 2 mM L-glutamine and Earle's BSS adjusted to contain 1.5 g/L sodium bicarbonate, 0.1 mM non-essential amino acids, and 1.0 mM sodium pyruvate, 90%; fetal bovine serum, 10%. Protocol:  Remove and discard culture medium. Briefly rinse the cell layer with 0.25% (w/v) Trypsin- 0.53 mM EDTA solution to remove all traces of serum that contains trypsin inhibitor. Add 2.0 to 3.0 ml of Trypsin-EDTA solution to flask and observe cells under an inverted microscope until cell layer is dispersed (usually within 5 to 15 minutes). Note: To avoid clumping do not agitate the cells by hitting or shaking the flask while waiting for the cells to detach. Cells that are difficult to detach may be placed at 37°C to facilitate dispersal. Add 6.0 to 8.0 ml of complete growth medium and aspirate cells by gently pipetting. Add appropriate aliquots of the cell suspension to new culture vessels. Incubate cultures at 37°C. Subcultivation ratio: A subcultivation ratio of 1:3 to 1:4 is recommended			"<a href = ""http://www.atcc.org/Products/All/HTB-21"" target=""blank"">ATCC HTB-21</a>"														Obtained by Mario Niepel (Harvard Medical School) as part of the ICBP43 Collection in July, 2010	2010-07-16	
20343	50205-2	LCL-1329	HCC1143	HCC-1143	"<a href = ""http://purl.obolibrary.org/obo/CLO_0003630""  target=""blank"">CLO_0003630</a>"	50205			ATCC	CRL-2321		Homo sapiens	breast				female				DOID:3008, primary ductal carcinoma	breast ductal carcinoma				none	adherent				"<a href = ""http://www.atcc.org/Products/All/CRL-2321"" target=""blank"">ATCC CRL-2321</a>"														Received from Kristin Brown (Alex Toker Lab, Beth Israel Deaconess Medical Center)		
20343	50206-2	LCL-1330	HCC1395	HCC-1395, SCC-1395	"<a href = ""http://purl.obolibrary.org/obo/CLO_0003634""  target=""blank"">CLO_0003634</a>"	50206		HMS_LINCS	ATCC	CRL-2324		Homo sapiens	breast				female				DOID:3008, primary ductal carcinoma	breast ductal carcinoma		"<a href = ""http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=749712""  target=""blank"">COSS749712</a>"		none	adherent	From MGH/CMT as specified by cell provider: RPMI 1640 medium with 2 mM L-glutamine adjusted to contain 1.5 g/L sodium bicarbonate, 4.5 g/L glucose, 10 mM HEPES, and 1.0 mM sodium pyruvate, 90%; fetal bovine serum, 10%. Protocol: Remove medium, and rinse with 0.25% trypsin, 0.53 mM EDTA solution. Remove the solution and add an additional 1 to 2 ml of trypsin-EDTA solution. Allow the flask to sit at room temperature (or at 37C) until the cells detach. Add fresh culture medium, aspirate and dispense into new culture flasks. Subcultivation ratio: A subcultivation ratio of 1:2 is recommended			"<a href = ""http://www.atcc.org/Products/All/CRL-2324"" target=""blank"">ATCC CRL-2324</a>"														Obtained by Mario Niepel (Harvard Medical School) as part of the ICBP43 Collection in July, 2010	2010-07-16	
