centerdatasetid	sm_name	sm_lincs_id	sm_alternative_name	sm_pubchem_cid	sm_inchi_parent	sm_inchi_key_parent	sm_smiles_parent	sm_center_name	sm_center_canonical_id	sm_center_batch_id	sm_provider_name	sm_provider_catalog_id	sm_provider_batch_id	sm_salt	sm_smiles_batch	sm_inchi_batch	sm_inchi_key_batch	sm_molecular_mass	sm_purity	sm_purity_method	sm_aqueous_solubility	sm_logp	sm_alternative_id	sm_relevant_citations	sm_chebi_id
20343	SCHEMBL1564574	LSM-1006	AZD7762	67077825	InChI=1S/C17H19FN4O2S/c18-11-4-1-3-10(7-11)14-8-13(22-17(19)24)15(25-14)16(23)21-12-5-2-6-20-9-12/h1,3-4,7-8,12,20H,2,5-6,9H2,(H,21,23)(H3,19,22,24)/t12-/m1/s1	IAYGCINLNONXHY-GFCCVEGCSA-N	NC(=O)Nc1cc(sc1C(=O)N[C@@H]2CCCNC2)c3cccc(F)c3	HMS_LINCS	10006	10006-101-1	Haoyuan chemexpress	HY-10992	HY-999-20101012					362.121274778							91328
20343	Neratinib	LSM-42778	Neratinib; HKI-272; CDP-820; WAY-179272; NERATINIB (HKI-272)	9915743	InChI=1S/C30H29ClN6O3/c1-4-39-28-16-25-23(15-26(28)36-29(38)9-7-13-37(2)3)30(20(17-32)18-34-25)35-21-10-11-27(24(31)14-21)40-19-22-8-5-6-12-33-22/h5-12,14-16,18H,4,13,19H2,1-3H3,(H,34,35)(H,36,38)/b9-7+	JWNPDZNEKVCWMY-VQHVLOKHSA-N	CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C	HMS_LINCS	10018	10018-101-1	Haoyuan chemexpress	HY-32721	HM-016_11-20100622					556.198966558							
20343	Dasatinib	LSM-1020	Sprycel; Dasatinib; BMS-354825; BMS-354825-03	3062316	InChI=1S/C22H26ClN7O2S/c1-14-4-3-5-16(23)20(14)28-21(32)17-13-24-22(33-17)27-18-12-19(26-15(2)25-18)30-8-6-29(7-9-30)10-11-31/h3-5,12-13,31H,6-11H2,1-2H3,(H,28,32)(H,24,25,26,27)	ZBNZXTGUTAYRHI-UHFFFAOYSA-N	Cc1nc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)cc(n1)N4CCN(CCO)CC4	HMS_LINCS	10020	10020-101-1	Haoyuan chemexpress	HY-10181	HY-999-20101220					487.155721542							49375
20343	Saracatinib	LSM-1032	Saracatinib; AZD0530; AZD-0530; AZ-10353926; AZD-0530 DIFUMARATE; SARACATINIB (AZD0530); Saracatinib Difumarate	10302451	InChI=1S/C27H32ClN5O5/c1-32-6-8-33(9-7-32)10-13-35-19-14-21-24(23(15-19)38-18-4-11-34-12-5-18)27(30-16-29-21)31-25-20(28)2-3-22-26(25)37-17-36-22/h2-3,14-16,18H,4-13,17H2,1H3,(H,29,30,31)	OUKYUETWWIPKQR-UHFFFAOYSA-N	CN1CCN(CCOc2cc(OC3CCOCC3)c4c(Nc5c(Cl)ccc6OCOc56)ncnc4c2)CC1	HMS_LINCS	10032	10032-101-1	Haoyuan chemexpress	HY-10234	HY-999-20100409					541.209196884							
20343	Pictilisib	LSM-1047	Pictrelisib; Pictilisib; RG-7321; GDC-0941	17755052	InChI=1S/C23H27N7O3S2/c1-35(31,32)30-7-5-28(6-8-30)15-16-13-20-21(34-16)23(29-9-11-33-12-10-29)26-22(25-20)17-3-2-4-19-18(17)14-24-27-19/h2-4,13-14H,5-12,15H2,1H3,(H,24,27)	LHNIIDJUOCFXAP-UHFFFAOYSA-N	CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5cccc6[nH]ncc56)CC1	HMS_LINCS	10047	10047-101-1	Nathanael Gray (DFCI)	KIN001-153	GDC-0941-1					513.161679174							65326
20343	Palbociclib	LSM-1071	Palbociclib; PD0332991; PD-0332991; PF-0008066573; PD-03329910054; Palbociclib (pd-0332991) HCL; Palbociclib Isethionate	5330286	InChI=1S/C24H29N7O2/c1-15-19-14-27-24(28-20-8-7-18(13-26-20)30-11-9-25-10-12-30)29-22(19)31(17-5-3-4-6-17)23(33)21(15)16(2)32/h7-8,13-14,17,25H,3-6,9-12H2,1-2H3,(H,26,27,28,29)	AHJRHEGDXFFMBM-UHFFFAOYSA-N	CC(=O)C1=C(C)c2cnc(Nc3ccc(cn3)N4CCNCC4)nc2N(C5CCCC5)C1=O	HMS_LINCS	10071	10071-101-1	Haoyuan chemexpress	HY-50767	HM-003_TM20110113					447.238273238							85993
20343	TORIN-2	LSM-1080	TORIN2	51358113	InChI=1S/C24H15F3N4O/c25-24(26,27)17-2-1-3-18(11-17)31-22(32)9-6-16-13-29-20-7-4-14(10-19(20)23(16)31)15-5-8-21(28)30-12-15/h1-13H,(H2,28,30)	GUXXEUUYCAYESJ-UHFFFAOYSA-N	Nc1ccc(cn1)c2ccc3ncc4C=CC(=O)N(c5cccc(c5)C(F)(F)F)c4c3c2	HMS_LINCS	10080	10080-101-1	Nathanael Gray (DFCI)	Torin2	Torin2-1					432.11979574							90682
20343	Taxol	LSM-1102	Taxol; Paclitaxel	441276	InChI=1S/C47H51NO14/c1-25-31(60-43(56)36(52)35(28-16-10-7-11-17-28)48-41(54)29-18-12-8-13-19-29)23-47(57)40(61-42(55)30-20-14-9-15-21-30)38-45(6,32(51)22-33-46(38,24-58-33)62-27(3)50)39(53)37(59-26(2)49)34(25)44(47,4)5/h7-21,31-33,35-38,40,51-52,57H,22-24H2,1-6H3,(H,48,54)/t31-,32-,33+,35-,36+,37+,38?,40-,45+,46-,47+/m0/s1	RCINICONZNJXQF-VAZQATRQSA-N	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)C2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C		10102-101	10102-101-4	MedChem Express		14145					853.330955322							
20343	Tivantinib	LSM-1131	Tivantinib; ARQ197; ARQ-197	11494412	InChI=1S/C23H19N3O2/c27-22-19(16-11-24-18-9-2-1-7-14(16)18)20(23(28)25-22)17-12-26-10-4-6-13-5-3-8-15(17)21(13)26/h1-3,5,7-9,11-12,19-20,24H,4,6,10H2,(H,25,27,28)/t19-,20-/m0/s1	UCEQXRCJXIVODC-PMACEKPBSA-N	O=C1NC(=O)[C@H]([C@@H]1c2c[nH]c3ccccc23)c4cn5CCCc6cccc4c56	HMS_LINCS	10131	10131-101-1	Haoyuan chemexpress	HY-50686						369.147726878							91398
20343	Trametinib	LSM-1143	Mekinist; Trametinib; JTP-74057; GSK1120212; GSK-1120212; GSK1120212B; Trametinib Dimethyl Sulfoxide	11707110	InChI=1S/C26H23FIN5O4/c1-13-22-21(23(31(3)24(13)35)30-20-10-7-15(28)11-19(20)27)25(36)33(17-8-9-17)26(37)32(22)18-6-4-5-16(12-18)29-14(2)34/h4-7,10-12,17,30H,8-9H2,1-3H3,(H,29,34)	LIRYPHYGHXZJBZ-UHFFFAOYSA-N	CN1C(=O)C(=C2N(C(=O)N(C3CC3)C(=O)C2=C1Nc4ccc(I)cc4F)c5cccc(NC(=O)C)c5)C	HMS_LINCS	10142	10142-101-1	Haoyuan chemexpress	HY-10999						615.077875466							75991, 75998
